N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
186,DGB금융지주,"6,950",170,-2.39%,"5,000","11,756","169,146",47.36,"873,800",3.55,7.31,
187,S&T모티브,"79,200","2,200",+2.86%,"5,000","11,582","14,623",26.10,"568,960",18.58,0.33,
188,코오롱인더,"42,800",700,-1.61%,"5,000","11,547","26,979",15.88,"365,018",7.66,1.58,
189,보령제약,"21,850","1,250",-5.41%,500,"11,388","52,120",7.12,"1,007,983",39.16,11.96,
190,롯데칠성,"125,000",0,0.00%,500,"11,219","8,975",10.73,"35,593",-12.82,-11.68,
191,롯데관광개발,"16,100",600,+3.87%,500,"11,153","69,276",4.82,"701,791",-23.64,-4.77,
192,JB금융지주,"5,640",100,-1.74%,"5,000","11,110","196,983",39.38,"864,857",3.21,10.36,
193,코스맥스,"110,500","9,000",+8.87%,500,"11,105","10,050",24.44,"707,866",27.35,10.45,
194,KODEX 인버스,"3,865",25,+0.65%,0,"11,027","285,300",2.34,"92,975,720",N/A,N/A,
195,다우기술,"23,900",150,+0.63%,500,"10,723","44,867",22.67,"296,672",3.84,14.62,
196,LG상사,"27,550","1,200",-4.17%,"5,000","10,678","38,760",22.84,"568,228",7.51,2.49,
197,한미반도체,"20,700",150,+0.73%,200,"10,661","51,502",5.16,"1,102,301",24.21,8.85,
198,롯데하이마트,"43,400","5,800",+15.43%,"5,000","10,246","23,608",12.19,"1,345,147",-13.95,-5.02,
199,GKL,"16,550",550,+3.44%,500,"10,237","61,856",6.29,"827,418",-76.98,12.62,
200,티와이홀딩스,"27,000",350,-1.28%,500,"10,125","37,501",7.96,"285,290",N/A,N/A,
